key,en,nl,fr,de
BC School chess,BC School chess,BC Schoolschaak,CB inter-écoles,BLM Schulschah
BC Youth,BC Youth,BK Jeugd,CB Jeunesse,BLM Jugend
Board,Board,Bestuur,Organe d'administration,Verwaltungsrat
Board members,Board members,Bestuursleden,Administrateurs,Vorstandsmitglieder
Book 100 years,Book 100 years,Boek 100 jaar,Livre 100 ans,Buch 100 Jahre
Calendar,Calender,Kalender,Calendrier,Kalender
Cancel,Cancel,Annuleren,Annuler,Absagen
Chess equiment,Chess equiment,Schaakmateriaal,Equipement d'échecs,Schachausrüstung
Collaborator,Collaborator,Medewerker,Collaborateur,Mitarbeiter
Committees,Committees,Commissies,Commissions,Ausschüsse
Communication manager,Communication manager,Communicatiemanager,Responsable de la communication,Kommunikationsmanager
Competitions,Competitions,Competities,Compétitions,Wettbewerbe
Confirm,Confirm,Bevestigen,Confirmer,Bestätigen
Contact details,Contact details,Contactdetails,Détails de contact,Kontaktdetails
Cost,Cost,Kost,Coût,Kosten
Delivery,Delivery,Levering,Livraison,Lieferung
Distribution points,Distribution points,Verdeelpunten,Points de distribution,Verteilungspunkte
Dutch,Dutch,Nederlands,Néerlandais,Niederländisch
E-mail,E-mail,E-mail,E-mail,E-mail
ELO processing,ELO processing,ELO-verwerking,Traitement ELO,ELO Verarbeitung
ELO tournaments,ELO tournaments,ELO toernooien,Tournois Elo,ELO Turniere
Email addresses,Email addresses,E-mailadressen,Adresses e-mail,E-mailadressen
Enrollment,Enrollment,Inschrijving,Inscription,Anmeldung
Existing enrollment,Existing enrollment,Bestaande inschrijving,Inscription existante,Bestehende Anmeldung
First name,First name,Voornaam,Prénom,Vorname
French,French,Frans,Français,Französisch
G License,G License,G Licentie,Licence G,G Lizenz
GDPR,GDPR,GDPR,RGPD,GDPR
German,German,Duits,Allemand,Deutsch
Home,Home,Home,Accueil,Startseite
Honorary members,Honorary members,Ereleden,Membres d'honneur,Ehrenmitglieder
Honorary president,Honorary president,Erevoorzitter,Président d'honneur,Ehrenpräsident
ID RBCF,ID RBCF,Stamnummer KBSB,Matricule FRBE,ID-Nummer KSB
Identity,Identity,Identiteit,Identité,Identität
Internal rules,Internal rules,Intern reglement,Règlement interne,interne Regulierung
International,International,Internationaal,International,International
International competitions,International competitions,Internationale competities,Compétitions internationales,Internationale Wettbewerbe
Last name,Last name,Familienaam,Nom,Nachname
Manager international selections,Manager international selections,Manager internationale selecties,Responsable sélections internationales,Manager internationale Auswahlen
Mandated persons,Mandated persons,Gemandateerden,Personnes mandatées,Mandierte Personen
Mobile phone,Mobile phone,GSM,GSM,Handy
Modify Enrollment,Modify Enrollment,Inschrijving wijzigen,Modifier l'inscription,Anmeldung ändern
More,More,Meer,Plus,Mehr
Ombudsman,Ombudsman,Ombudsman,Médiateur,Ombudsmann
Order created successfully,Order created successfully,Bestelling succesvol aangemaakt,Commande créée avec succès,Bestellung erfolgreich erstellt
Ordering form,Ordering form,Bestelformulier,Formulaire de commande,Bestellformular
Ordering the book 100 years of Belgian chess history,Ordering the book 100 years of Belgian chess history,Bestellen boek 100 jaar Belgische schaakgeschiedenis,Commander le livre 100 ans d'histoire des échecs en Belgique,Bestellung des Buches 100 Jahre Belgische Schachgeschichte
Planning,Planning,Planning,Planning,Planung
Player list,Player list,Spelerslijst,Liste de force,Spielerliste
Please select a club to view the enrollment,Please select a club to view the enrollment,Selecteer een club om de inschrijving te bekijken,Veuillez sélectionner un club pour voir l'inscription,"Bitte wählen Sie einen Club aus, um die Anmeldung anzuzeigen"
Postal address,Postal address,Postadres,Adresse postale,Postanschrift
postponed,postponed,uitgesteld,reporté,verschoben
President,President,Voorzitter,Président,Prásident
President CIS,President CIS,Voorzitter CIS,Président CIS,Prásident CIS
Questions,Questions,Vragen,Questions,Fragen
Rating manager,Rating manager,Ratingmanager,Responsable du classement ELO,Ratingmanager
RBCF,RCBF,KBSB,FRBE,KBSB
read more,read more,lees meer,en savoir plus,weiter lesen
Regional,Regional,Regionaal,Régional,Regional
Registered office,Registered office,Maatschappelijke zetel,Siège social,Sitz der Gesellschaft
Reports,Reports,Verslagen,Procès verbaux,Berichte
Representative BOIC,Representative BOIC,BOIC afgevaardigde,Délegué COIB,Stellvertreter BOIC
Representative female players,Representative female players,Vertegenwoordiger speelsters,Représentant joueuses,Vertreter für Spielerinnen
Representative for FIDE & ECU,Representative for FIDE & ECU,Afgevaardigde FIDE & ECU,Représentant pour FIDE & ECU,Vertreter für FIDE & ECU
Representative titled players,Representative titled players,Vertegenwoordiger  titelspelers,Représentant joueurs titrés,Vertreter für Titelspieler
Results,Results,Resultaten,Résultats,Ergebnisse
Results SWAR,Results SWAR,Resulaten SWAR,Résultats SWAR,Ergebnisse SWAR
Round,Round,Ronde,Ronde,Runde
Royal Belgian Chess Federation npo,Royal Belgian Chess Federation npo,Koninklijke Belgische Schaakbond vzw.,Fédération Royale Belge des Echecs asbl.,Königlicher Schachbund Belgien VoE
Save Enrollment,Save Enrollment,Inschrijving opslaan,Enregistrer l'inscription,Anmeldung speichern
Secretary,Secretary,Secretaris,Secrétaire,Sekretär
Secretary general,Secretary general,Secretaris-generaal,Secrétaire général,Generalsekretär
Select the club,Select the club,Kles de club,Sélectionnez le cercle,Wählen Sie den Verein aus
Social media,Social media,Socliale media,Mediasociaux,Sozialen Medien
Statutes,Statutes,Statuten,Statuts,Statuten
Teams in division,Teams in division,Teams in divisie,Equipes en division,Mannschaften in der Division
The club is not enrolled yet,The club is not enrolled yet,De club is nog niet ingeschreven,Le cercle n'est pas encore inscrit,Der Verein ist noch nicht registriert
Tools,Tools,Tools,Outils,Werkzeuge
Tournament director,Tournament director,Toernooidirecteur,Directeur de tournoi,Turnierleiter
Tournament rules,Tournament rules,Wedstrijdreglement,Règlement des tournois,Turnierregeln
Treasurer,Treasurer,Penningmeester,Trésorier,Schatzmeister
Useful information,Useful information,Nuttige informatie,Information utile,Nützliche Informationen
Venue,Venue,Speelzaal,Salle de jeux,Spielort
Vice president,Vice president,Vicevoorzitter,Vice-président,Vizepräsident
Webmaster,Webmaster,Webmaster,Webmaster,Webmaster
Which versions do you want?,Which versions do you want?,Welke versies wens je?,Quelles versions voulez-vous?,Welche Versionen möchten Sie?
Youth,Youth,Jeugd,Jeunesse,Jugend
Youth director,Youth director,Jeugdleider,Directeur de la jeunesse,Jugendleiter
Selected club,Selected club,Geselecteerde club,Cercle sélectionné,Ausgewählter Verein
Start typing to filter (clubnumber or name),Start typing to filter (clubnumber or name),Begin met typen om te filteren (clubnummer of naam),Commencez à taper pour filtrer (numéro de club ou nom),"Beginnen Sie mit der Eingabe, um zu filtern (Clubnummer oder Name)"
Details,Details,Details,Détails,Details
Access Rights,Access Rights,Toegangsrechten,Droits d'accès,Zugangsrechte
Members,Members,Leden,Membres,Mitglieder
Affiliations,Affiliations,Aanslutingen,Affiliations,Zugehörigkeiten
